"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"160","plate",5,3.12,5,13,4,1,"Noun"
"447","meeting",7,3.83,1,12,5,2,"Noun"
"180","shadow",6,3.03,0,2,4,2,"Noun"
"330","cash",4,3.57,12,20,3,1,"Noun"
"42","research",8,3.23,0,0,5,2,"Noun"
"201","golf",4,3.11,4,2,4,1,"Noun"
"67","sea",3,3.48,10,28,2,1,"Noun"
"26","idiot",5,3.53,1,1,5,2,"Noun"
"29","bitch",5,3.94,9,22,3,1,"Noun"
"200","steps",5,3.1,3,2,5,1,"Noun"
"427","coffee",6,3.87,2,3,4,2,"Noun"
"271","cow",3,3.11,18,15,2,1,"Noun"
"287","snow",4,3.2,6,3,3,1,"Noun"
"296","panic",5,3.05,2,1,5,2,"Noun"
"298","zone",4,3.01,8,14,3,1,"Noun"
"63","wire",4,3.15,16,22,3,1,"Noun"
"449","couple",6,4.06,0,4,4,2,"Noun"
"380","favor",5,3.56,1,8,4,2,"Noun"
"74","tongue",6,3.2,0,15,3,1,"Noun"
"91","jerk",4,3.23,1,13,3,1,"Noun"
"134","mirror",6,3.09,0,9,3,1,"Noun"
"22","dollar",6,3.15,1,8,4,2,"Noun"
"241","police",6,4.08,2,1,5,2,"Noun"
"15","driver",6,3.38,3,1,5,2,"Noun"
"142","sword",5,3.13,2,18,4,1,"Noun"
"137","owner",5,3.07,1,9,3,2,"Noun"
"293","knees",5,3.12,1,27,3,1,"Noun"
"319","sugar",5,3.28,0,0,4,2,"Noun"
"412","trace",5,3,6,11,4,1,"Noun"
"396","birth",5,3.15,4,18,3,1,"Noun"
"221","shape",5,3.19,6,14,3,1,"Noun"
"342","store",5,3.62,13,10,4,1,"Noun"
"379","air",3,3.85,5,12,2,1,"Noun"
"323","card",4,3.64,12,24,4,1,"Noun"
"143","bodies",6,3.23,2,3,5,2,"Noun"
"313","bar",3,3.64,15,26,3,1,"Noun"
"331","story",5,4.05,4,5,5,2,"Noun"
"281","shopping",8,3.19,5,9,5,2,"Noun"
"187","bullet",6,3.29,3,2,5,2,"Noun"
"355","case",4,4.16,14,21,3,1,"Noun"
"130","doctor",6,4.13,0,0,5,2,"Noun"
"38","plant",5,3.15,4,5,5,1,"Noun"
"89","turkey",6,3.06,0,7,4,2,"Noun"
"322","size",4,3.37,4,31,3,1,"Noun"
"327","record",6,3.64,1,0,5,2,"Noun"
"66","series",6,3.01,1,3,5,2,"Noun"
"94","mercy",5,3.11,1,7,4,2,"Noun"
"224","test",4,3.63,13,18,4,1,"Noun"
"275","sport",5,3.01,5,2,5,1,"Noun"
"444","ones",4,3.71,3,15,4,1,"Noun"
"372","death",5,4.04,1,9,3,1,"Noun"
"416","land",4,3.65,11,16,4,1,"Noun"
"133","rest",4,4.04,11,21,4,1,"Noun"
"101","candy",5,3.26,6,10,5,2,"Noun"
"50","party",5,4.08,6,5,5,2,"Noun"
"110","wallet",6,3.07,4,2,5,2,"Noun"
"111","cage",4,3.01,13,15,3,1,"Noun"
"11","search",6,3.39,1,11,3,1,"Noun"
"80","rat",3,3.22,19,36,3,1,"Noun"
"386","hand",4,4.15,9,13,4,1,"Noun"
"119","passion",7,3,0,3,4,2,"Noun"
"378","jobs",4,3.15,8,13,4,1,"Noun"
"285","bones",5,3.19,10,18,4,1,"Noun"
"239","matters",7,3.23,5,12,5,2,"Noun"
"79","queen",5,3.45,1,1,4,1,"Noun"
"291","view",4,3.29,2,10,3,1,"Noun"
"141","gun",3,4.04,13,24,3,1,"Noun"
"121","truck",5,3.57,4,6,4,1,"Noun"
"304","times",5,4.05,10,19,4,1,"Noun"
"31","guts",4,3.08,10,9,4,1,"Noun"
"269","angel",5,3.6,1,0,5,2,"Noun"
"46","effect",6,3.09,1,4,5,2,"Noun"
"295","papers",6,3.42,4,5,5,2,"Noun"
"238","jail",4,3.56,11,31,3,1,"Noun"
"338","stuff",5,4.19,4,10,4,1,"Noun"
"197","channel",7,3.1,1,5,4,2,"Noun"
"139","garden",6,3.13,2,5,5,2,"Noun"
"95","master",6,3.65,8,8,5,2,"Noun"
"395","bug",3,3.03,17,26,3,1,"Noun"
"284","trash",5,3.06,3,7,4,1,"Noun"
"318","years",5,4.46,10,16,4,1,"Noun"
"3","page",4,3.28,11,16,3,1,"Noun"
"172","career",6,3.36,3,0,5,2,"Noun"
"45","film",4,3.52,3,6,4,1,"Noun"
"85","mum",3,3.04,8,24,3,1,"Noun"
"321","arrest",6,3.48,0,4,5,2,"Noun"
"305","bottom",6,3.41,0,1,5,2,"Noun"
"54","lights",6,3.46,4,18,4,1,"Noun"
"357","lesson",6,3.22,2,6,4,2,"Noun"
"422","thief",5,3.09,1,8,3,1,"Noun"
"410","bowl",4,3.04,9,35,3,1,"Noun"
"178","power",5,3.88,9,19,3,1,"Noun"
"99","bell",4,3.3,13,29,3,1,"Noun"
"236","square",6,3.21,1,1,5,1,"Noun"
"47","metal",5,3,2,12,4,2,"Noun"
"413","winner",6,3.2,5,9,4,2,"Noun"
"28","jacket",6,3.23,2,2,5,2,"Noun"
"170","tower",5,3.07,10,16,3,1,"Noun"
"346","battle",6,3.33,4,13,4,2,"Noun"
"37","tail",4,3.09,13,36,3,1,"Noun"
"441","flesh",5,3.05,3,8,4,1,"Noun"
"222","spot",4,3.5,7,11,4,1,"Noun"
"164","dreams",6,3.52,3,5,5,1,"Noun"
"59","aunt",4,3.45,4,9,3,1,"Noun"
"264","table",5,3.73,4,6,4,2,"Noun"
"174","field",5,3.55,3,20,4,1,"Noun"
"65","letters",7,3.28,2,12,5,2,"Noun"
"77","fool",4,3.66,10,24,3,1,"Noun"
"394","kinds",5,3.05,5,5,5,1,"Noun"
